content_id,client_id,impressions_90d,clicks_90d,avg_position,days_since_last_update,content_type,y_proba,y_true,reason_code,action
content_c82bc0c24241,client_f369cb89fc,13676,0,4.3,8,keyword article,0.9430120744318676,1,MODEL_DECLINE_RISK,Prioritize for refresh review
content_87c007fb5c26,client_f369cb89fc,2463,0,6.6,20,keyword article,0.9388562370422797,1,MODEL_DECLINE_RISK,Prioritize for refresh review
content_df71843dcd17,client_8527a891e2,27334,0,76.4,103,keyword article,0.9379504535389442,0,MODEL_DECLINE_RISK,Prioritize for refresh review
content_5d5653c4eb4f,client_4e07408562,15101,0,5.7,7,keyword article,0.9374207903362664,0,MODEL_DECLINE_RISK,Prioritize for refresh review
content_41baf0722ad9,client_8527a891e2,3115,0,12.8,104,keyword article,0.936325165008688,0,MODEL_DECLINE_RISK,Prioritize for refresh review
content_8ba781dafa55,client_8527a891e2,16156,0,9.0,104,keyword article,0.9356704482168159,1,MODEL_DECLINE_RISK,Prioritize for refresh review
content_66458ac1b739,client_8527a891e2,6822,2,2.9,102,keyword article,0.9326944584622133,1,MODEL_DECLINE_RISK,Prioritize for refresh review
content_823ea9b9b355,client_f369cb89fc,4369,0,3.9,20,keyword article,0.9276102761008135,1,MODEL_DECLINE_RISK,Prioritize for refresh review
content_453722754fea,client_f369cb89fc,140079,16,7.6,20,keyword article,0.9260995447486179,1,MODEL_DECLINE_RISK,Prioritize for refresh review
content_e988c1699454,client_8527a891e2,2197,0,21.5,104,keyword article,0.925092287768093,1,MODEL_DECLINE_RISK,Prioritize for refresh review
content_e09b5602ba42,client_8527a891e2,9681,0,74.3,92,keyword article,0.9241764208725284,0,MODEL_DECLINE_RISK,Prioritize for refresh review
content_e5f459e737b7,client_f369cb89fc,56363,3,5.9,20,keyword article,0.9228221992574565,1,MODEL_DECLINE_RISK,Prioritize for refresh review
content_11a4f985f14d,client_f369cb89fc,17713,3,3.7,20,keyword article,0.9219275053074172,1,MODEL_DECLINE_RISK,Prioritize for refresh review
content_a928cb66d230,client_f369cb89fc,128,0,4.2,20,keyword article,0.921452769933086,1,MODEL_DECLINE_RISK,Prioritize for refresh review
content_ccf887ee3581,client_4e07408562,2993,1,5.5,104,keyword article,0.9206318184621171,1,MODEL_DECLINE_RISK,Prioritize for refresh review
